f,Unnamed: 691,Unnamed: 652
2.718281828,-0.466963195,0.977672987
2.959948685,-0.467467975,0.977983544
3.223100756,-0.468063291,0.978323004
3.509648169,-0.468759252,0.978693465
3.821670871,-0.469565608,0.979096679
4.161433722,-0.470491238,0.979533746
4.531402941,-0.471543493,0.980004751
4.934264002,-0.472727404,0.980508374
5.372941131,-0.474044776,0.981041523
5.85061853,-0.475493237,0.981599046
6.370763487,-0.477065334,0.982173584
6.937151552,-0.47874782,0.982755633
7.553893933,-0.480521282,0.983333869
8.225467343,-0.482360276,0.983895743
8.956746496,-0.48423407,0.984428321
9.753039487,-0.486108049,0.984919265
10.62012632,-0.487945708,0.985357831
11.56430088,-0.489711039,0.985735737
12.59241659,-0.491371046,0.986047745
13.71193616,-0.49289805,0.986291918
14.93098581,-0.494271486,0.986469496
16.25841418,-0.495478959,0.986584488
17.70385659,-0.496516471,0.986643036
19.277805,-0.497387854,0.986652698
20.99168414,-0.498103571,0.986621722
22.85793445,-0.498679105,0.986558408
24.89010238,-0.499133216,0.986470586
27.10293872,-0.499486272,0.986365248
29.51250564,-0.499758836,0.986248308
32.13629335,-0.499970607,0.98612449
34.99334699,-0.500139739,0.985997316
38.10440489,-0.500282507,0.985869162
41.49204911,-0.500413275,0.985741357
45.18086937,-0.500544668,0.985614303
49.19764149,-0.500687898,0.985487597
53.57152179,-0.500853174,0.985360141
58.33425872,-0.501050148,0.985230222
63.52042329,-0.501288384,0.985095572
69.16766003,-0.50157783,0.984953396
75.31696021,-0.501929281,0.984800358
82.01295943,-0.502354866,0.98463255
89.30426155,-0.502868546,0.98444541
97.24379155,-0.503486664,0.984233617
105.8891797,-0.504228554,0.983990936
115.3031797,-0.505117244,0.983710021
125.5541245,-0.506180289,0.983382164
136.716422,-0.507450768,0.982996967
148.8710954,-0.508968499,0.982541934
162.1063712,-0.510781546,0.982001943
176.5183194,-0.51294809,0.981358557
192.2115514,-0.515538792,0.980589139
209.2999787,-0.518639792,0.979665667
227.9076401,-0.52235657,0.978553153
248.169602,-0.526818949,0.977207495
270.2329388,-0.532187655,0.975572505
294.2578004,-0.538663023,0.973575745
320.4185748,-0.546496666,0.971122572
348.9051536,-0.556007305,0.968087465
379.9243109,-0.567602491,0.964301135
413.7012036,-0.581808707,0.959530932
450.4810063,-0.599313479,0.953450357
490.5306904,-0.6210246,0.945590345
534.1409624,-0.648153419,0.935259236
581.6283737,-0.682330673,0.921407128
633.3376185,-0.725762343,0.90238785
689.6440359,-0.781422812,0.875523557
750.9563341,-0.853245955,0.836261652
817.7195572,-0.946168874,0.776375986
890.4183159,-1.065544776,0.679297326
969.5803045,-1.212711516,0.502515657
1055.780132,-1.310750201,0.070271701
1149.643492,-0.200334257,-0.857486293
1251.851705,0.786319212,-0.80565659
1363.146664,0.995662628,-0.719644602
1484.33622,0.994444056,-0.750637187
1616.300045,0.872638557,-0.848958536
1759.996018,0.685004519,-0.945881238
1916.467176,0.495755237,-1.007290138
2086.849287,0.333503789,-1.038482545
2272.379095,0.188471915,-1.052032358
2474.403295,0.0250978,-1.052089028
2694.388309,-0.250892368,-1.015135553
2933.930929,-0.964540224,-0.642727271
3194.769911,-1.128347104,0.584169152
3478.798591,-0.764789317,0.893375921
3788.078634,-0.608322316,0.963343031
4124.854992,-0.53153178,0.989214494
4491.572205,-0.490102142,1.001213406
4890.892144,-0.468047159,1.007186643
